Date,Story 1,Gameplay 1,Story 2,Gameplay 2,Story 3,Gameplay 3,Story 4,Gameplay 4,Story 5,Gameplay 5
2000,2,10,4,9,1,10,6,9,4,10
2001,2,10,4,8,5,9,6,10,1,9
2002,3,8,4,8,4,8,2,9,2,7
2003,3,8,1,10,5,5,1,8,3,8
2004,7,7,6,6,4,7,2,9,2,8
2005,6,9,3,9,2,8,3,10,2,9
2006,7,8,4,8,6,7,4,7,6,10
2007,3,8,7,8,4,9,4,8,3,8
2008,7,9,5,9,9,8,4,9,6,7
2009,7,8,5,7,4,9,4,8,5,7
2010,4,10,9,7,7,7,3,6,6,7
2011,7,8,9,6,10,6,2,10,9,7
2012,10,7,9,7,10,4,10,7,6,8
2013,9,8,9,6,8,8,9,5,4,8
2014,2,8,3,7,6,8,4,9,4,8
2015,8,8,6,10,7,9,10,8,4,10
2016,10,7,9,9,2,8,2,8,9,8
2017,9,9,6,10,10,5,10,3,2,8
2018,10,8,10,7,10,7,3,9,2,8
2019,8,8,7,9,10,6,5,10,8,8
2020,10,8,8,10,10,9,4,9,9,10
2021,10,6,7,9,3,9,10,7,9,8
